y,alpha,beta
0,726,401
1,202,504
1,306,765
1,112,231
0,689,423
0,194,121
0,802,158
0,760,369
0,954,571
1,265,242
1,893,924
0,590,221
1,177,480
1,589,896
0,595,371
1,6,623
0,292,264
0,532,209
1,219,493
0,751,530
0,244,135
1,631,486
0,793,215
1,158,436
1,203,161
1,479,757
1,466,641
0,767,651
1,445,593
1,117,559
0,883,537
0,923,707
1,26,236
1,254,482
1,657,997
1,118,389
0,526,8
0,580,32
1,717,933
1,34,599
0,545,338
1,41,418
0,542,55
1,640,709
0,773,663
1,56,449
1,104,242
0,318,570
1,255,151
1,53,516
1,867,997
1,571,632
0,416,271
1,195,195
1,469,614
1,138,791
1,136,214
1,933,869
0,391,413
0,667,537
0,725,109
1,506,818
1,769,996
0,198,137
0,390,461
1,138,526
0,852,492
1,308,308
0,938,504
0,464,195
0,987,843
1,351,621
0,402,400
1,976,964
0,287,141
1,80,627
0,483,418
0,448,459
0,962,360
0,882,566
1,437,870
0,797,125
1,292,440
0,469,193
1,349,855
0,790,31
1,209,676
1,568,727
1,227,609
1,325,894
1,632,819
1,458,661
1,534,769
1,269,930
0,865,65
1,92,560
1,426,507
1,493,843
0,441,2
1,137,247
0,217,24
0,877,404
1,291,820
1,157,797
0,317,23
1,862,945
0,943,431
0,602,75
1,118,408
1,95,549
1,48,202
1,126,845
0,751,17
1,303,748
1,274,954
0,814,660
1,561,525
0,342,427
1,531,800
1,6,150
0,832,623
1,568,540
0,418,443
1,240,672
1,276,887
1,64,461
0,886,253
0,982,515
0,877,137
0,632,6
0,949,462
0,232,54
0,975,75
1,169,629
1,266,672
0,246,68
0,905,305
0,912,292
1,174,200
0,969,668
1,617,692
0,941,655
1,307,627
0,30,4
1,946,933
0,924,719
1,45,277
1,338,903
0,321,130
0,828,773
0,299,578
1,0,486
1,529,879
1,44,631
1,132,840
1,29,246
0,892,682
1,34,435
0,712,747
0,383,302
0,724,34
0,473,396
0,810,400
0,877,160
1,224,547
0,730,683
1,460,641
1,179,437
0,715,349
1,247,449
1,8,996
1,600,644
0,679,96
0,417,204
1,309,316
1,455,688
1,104,253
1,510,698
1,236,707
1,802,856
1,167,388
0,217,26
1,824,949
0,686,311
0,627,434
1,73,526
1,85,973
0,311,107
1,227,452
1,119,426
1,665,650
1,568,994
1,308,792
0,457,59
0,994,721
0,841,401
0,961,102
1,37,364
1,140,665
1,189,558
1,344,945
1,341,893
1,241,212
1,648,845
1,197,323
0,851,374
0,706,121
1,127,231
0,801,571
1,613,745
0,712,418
1,90,231
0,741,739
0,451,223
1,309,617
1,668,680
1,460,509
1,460,792
1,231,632
0,473,62
0,446,445
0,410,365
1,490,699
0,414,368
0,660,30
1,86,142
1,294,300
1,554,725
0,74,6
1,381,959
0,621,260
1,722,812
0,393,391
1,384,744
0,922,421
0,656,517
0,617,149
0,960,644
0,862,539
1,533,901
1,524,780
0,677,370
0,282,527
1,96,866
1,573,929
0,981,691
0,952,375
1,565,724
1,68,94
0,923,80
0,768,89
0,931,342
0,716,758
1,577,641
0,648,540
1,79,444
1,195,761
1,135,891
1,600,543
0,160,162
0,604,382
1,688,903
0,911,187
1,797,975
1,11,793
0,979,494
1,109,114
1,548,504
1,514,587
0,294,475
0,454,431
1,97,274
1,356,800
0,836,342
1,449,737
1,67,575
1,273,391
1,295,866
1,492,669
1,282,239
1,58,715
0,900,321
1,191,613
0,700,511
0,406,23
1,109,861
1,185,214
0,335,229
1,300,990
0,712,768
0,349,468
0,791,19
0,827,604
0,384,108
0,741,508
0,547,408
0,954,57
0,105,28
1,125,231
0,625,230
1,232,443
1,293,778
0,353,149
1,901,871
0,223,8
1,303,818
0,740,128
0,985,800
0,961,543
0,475,518
0,427,414
1,572,842
0,707,276
1,438,932
0,989,516
1,751,788
1,111,164
1,76,521
0,942,656
1,42,103
1,569,678
0,790,373
1,675,732
1,416,690
1,140,411
1,38,385
0,691,26
0,360,80
1,14,296
1,229,856
1,471,818
0,493,39
1,553,570
0,821,95
1,51,67
1,620,937
0,304,201
0,994,424
0,885,216
1,2,765
1,470,656
0,883,646
1,492,634
1,521,733
0,401,407
0,913,335
1,367,903
0,449,404
0,777,240
0,380,9
0,328,6
1,627,979
1,88,810
0,619,469
1,66,798
0,639,250
1,27,604
1,240,339
0,948,17
0,323,539
0,903,236
1,136,538
1,393,728
1,32,130
1,12,353
1,597,517
0,827,125
0,642,122
0,979,485
1,55,756
1,218,590
1,190,603
1,419,954
1,619,849
1,192,621
0,412,308
1,71,81
0,467,253
0,740,2
1,154,615
1,469,914
1,851,823
1,85,939
0,656,46
0,849,640
0,358,410
0,412,95
1,390,969
1,106,512
0,516,318
0,732,315
1,121,417
0,369,376
1,126,754
0,153,93
0,894,296
1,298,920
0,939,465
0,763,352
1,513,847
1,386,795
0,699,222
0,811,148
0,424,426
0,507,461
0,344,231
1,556,671
0,733,185
0,813,234
1,417,754
0,584,313
0,408,374
0,902,777
0,901,191
1,273,835
0,320,515
0,817,688
1,92,207
0,363,557
0,361,129
0,363,513
1,968,923
0,522,410
1,186,535
1,17,905
1,576,584
0,955,742
1,546,975
1,234,986
0,391,166
0,995,834
1,770,788
0,856,357
1,199,699
0,526,240
0,146,3
1,95,213
1,421,956
1,476,754
0,651,306
1,96,212
1,78,305
0,333,297
1,584,881
0,334,505
0,704,714
0,895,207
1,462,949
1,57,660
0,742,622
1,273,396
1,628,667
1,649,951
1,555,593
0,801,696
0,247,41
1,37,198
1,254,471
0,894,167
0,483,38
1,262,146
0,571,356
1,156,989
1,82,724
1,25,705
1,938,902
0,929,354
1,272,677
0,516,498
0,637,321
1,29,420
1,788,835
1,539,707
0,879,562
0,202,151
1,262,332
1,34,882
0,382,44
0,636,585
0,972,226
0,628,411
0,342,141
1,59,767
1,348,669
0,816,570
1,522,754
0,776,465
0,860,468
0,663,100
0,398,49
1,458,833
1,176,483
0,450,110
1,89,816
0,849,169
0,616,279
1,259,331
0,483,266
1,298,823
0,930,31
0,910,818
0,671,354
1,37,486
1,129,362
0,387,224
1,217,671
0,602,307
1,490,559
1,351,946
1,187,776
1,148,695
0,553,526
0,419,388
1,297,984
1,371,839
0,734,111
1,274,286
0,846,317
1,101,122
1,57,458
1,110,480
0,492,144
1,0,327
0,963,752
0,742,731
0,451,230
1,120,358
1,372,865
0,465,187
0,428,424
0,409,285
0,115,49
0,349,436
1,17,132
0,267,567
1,699,875
1,531,874
0,822,336
0,350,504
1,494,670
0,225,111
0,981,241
1,230,313
1,547,506
0,616,228
0,435,126
0,899,514
1,220,781
1,692,862
0,832,562
1,268,960
0,507,131
1,933,953
1,639,861
0,931,813
0,578,201
0,748,231
1,298,951
1,30,297
1,625,546
0,732,303
1,29,653
1,520,862
0,395,323
1,207,221
1,537,780
1,838,869
0,449,120
1,181,170
1,208,480
0,427,171
0,954,369
0,673,170
1,287,629
1,54,382
0,688,563
1,423,724
0,566,237
0,493,500
0,584,321
0,975,133
1,134,335
1,647,495
0,521,156
1,87,413
1,635,516
0,748,590
0,719,612
0,574,332
1,853,921
0,595,143
0,426,123
1,337,805
0,787,642
0,709,268
0,833,474
0,545,342
1,421,521
1,156,667
0,512,400
1,151,816
0,443,84
0,869,343
1,317,805
1,644,853
1,192,662
1,88,232
0,796,667
0,627,192
0,715,601
1,214,365
0,945,87
1,469,980
0,996,197
0,674,92
0,962,449
1,258,838
0,904,155
0,834,364
1,307,839
0,991,81
1,489,768
1,151,651
1,26,889
1,2,457
1,459,599
1,103,865
1,196,982
1,623,683
1,35,773
1,657,995
0,372,85
1,94,423
0,664,413
1,481,739
1,816,992
0,481,141
1,691,763
1,159,330
0,391,105
0,548,454
0,601,187
1,566,804
1,195,918
0,804,557
0,953,659
0,720,414
0,958,620
0,435,302
1,411,595
0,893,373
1,606,959
0,912,46
1,777,936
0,802,170
0,183,79
1,607,507
0,465,479
1,94,534
1,637,934
1,489,888
1,781,987
1,15,215
0,973,813
0,110,25
0,988,467
1,587,707
0,896,31
0,743,200
1,123,315
0,879,535
0,888,463
1,476,815
0,945,493
1,207,381
1,727,889
1,538,526
1,127,586
0,732,340
0,966,544
1,118,956
1,252,374
0,775,648
1,482,837
0,681,470
0,611,264
0,675,434
1,838,939
0,175,142
0,367,204
1,112,68
0,776,383
0,786,531
0,205,123
1,231,633
1,833,998
0,279,502
1,123,777
1,256,151
0,378,16
1,108,684
0,851,560
0,897,130
1,441,563
1,146,925
0,544,461
1,213,891
1,114,690
0,686,217
1,310,806
0,508,401
0,82,76
1,414,597
1,248,632
0,719,433
1,19,535
0,340,526
1,486,848
1,518,927
0,772,583
1,517,733
0,675,38
0,935,550
1,20,272
0,862,588
1,36,329
1,515,912
1,592,911
1,99,472
1,444,644
0,740,366
0,978,940
0,438,368
0,922,729
0,629,202
1,320,971
0,735,73
0,856,462
0,277,522
1,551,781
0,463,78
1,31,99
0,659,516
1,542,866
0,597,319
0,562,155
0,755,108
0,666,543
1,673,847
0,564,64
1,256,476
0,992,232
1,203,826
1,614,612
0,318,257
0,936,62
1,478,564
1,356,750
0,754,542
0,506,77
1,100,155
1,9,725
0,773,397
0,964,874
1,408,742
1,695,941
1,597,843
1,112,349
0,919,315
0,676,117
0,520,535
0,646,60
0,996,955
1,660,941
0,718,111
0,859,171
1,543,713
0,111,32
0,896,72
1,551,679
0,394,137
0,826,260
1,193,701
1,296,856
1,624,962
1,19,35
0,376,382
0,875,784
1,521,649
1,233,641
1,127,403
0,845,688
0,653,277
1,201,775
0,570,339
1,143,320
1,85,994
0,92,7
0,981,492
1,422,827
0,326,233
0,792,570
0,921,347
0,476,449
1,49,526
1,75,836
1,261,838
0,618,330
1,65,871
0,653,66
0,977,56
0,973,699
0,644,35
1,113,315
0,720,339
0,342,589
1,327,734
1,763,809
0,934,472
1,325,794
1,619,651
1,24,228
1,849,884
0,359,433
1,289,313
0,328,364
1,153,967
0,690,391
0,843,600
1,933,859
1,636,676
0,887,183
0,928,401
1,250,835
0,960,433
1,437,553
1,366,932
0,943,804
1,549,503
1,311,795
1,498,682
0,965,877
0,762,617
0,950,541
1,72,281
0,431,320
0,962,375
1,183,744
0,932,451
0,355,59
0,774,108
0,883,828
1,716,915
1,332,684
0,467,374
0,684,86
0,977,678
0,422,434
0,624,405
0,708,459
0,978,446
0,916,831
0,368,570
1,459,676
1,874,812
1,277,403
0,320,242
1,263,722
1,60,254
0,757,168
1,107,281
1,104,522
0,638,203
1,550,661
0,669,361
0,357,46
0,603,483
1,355,629
0,898,632
0,464,449
1,251,175
0,382,229
1,73,784
0,985,188
0,858,325
1,384,757
1,744,932
1,195,760
0,200,137
1,722,872
1,131,926
0,612,633
0,497,417
0,418,303
1,58,289
1,513,852
1,217,948
0,611,201
1,394,724
0,494,458
0,995,100
1,612,611
0,444,411
1,970,992
0,513,378
0,73,22
0,872,337
1,499,981
0,912,631
0,936,126
1,763,814
0,761,386
1,688,773
0,987,638
1,648,765
0,749,215
0,701,663
1,51,614
0,425,134
1,444,728
0,649,14
0,647,292
0,944,165
0,356,19
1,286,617
1,632,649
1,19,69
0,771,380
1,698,845
1,422,949
1,188,490
0,630,204
1,357,717
0,784,501
0,955,99
1,49,663
0,864,708
0,159,149
0,981,587
1,944,993
0,867,702
0,775,474
1,312,603
1,153,208
1,669,786
0,637,14
0,987,61
1,281,450
0,811,586
1,495,828
1,408,878
0,354,474
0,754,205
1,641,843
0,862,508
1,534,632
0,961,712
0,928,450
0,869,695
0,670,356
1,589,620
0,525,38
1,545,935
1,783,871
0,348,319
1,409,612
0,142,132
1,491,739
1,430,569
1,461,680
1,210,783
0,893,565
0,493,141
0,939,575
1,930,954
1,833,848
1,622,722
0,824,26
1,678,642
0,324,399
1,16,988
0,833,776
1,536,681
1,144,296
1,450,654
1,271,703
1,673,992
0,727,18
1,207,931
0,716,352
0,363,245
1,673,599
1,57,325
0,723,76
0,703,332
1,842,906
1,281,910
1,183,234
0,683,24
0,550,396
0,603,419
1,686,888
1,194,490
1,330,783
1,403,712
1,484,884
0,672,254
1,587,613
1,14,843
0,970,247
1,19,393
0,529,383
0,977,574
0,551,0
0,882,519
0,302,102
0,600,133
1,772,893
0,404,54
0,842,78
0,395,274
1,184,979
0,326,257
0,511,392
0,656,536
1,127,649
1,486,878
1,580,805
1,871,968
1,129,711
0,974,416
1,131,824
1,74,80
1,400,637
0,865,421
0,427,27
1,36,494
1,258,324
0,976,321
0,895,120
1,156,818
1,316,636
1,122,554
1,688,834
0,755,365
1,295,298
0,758,196
1,106,887
0,491,269
1,56,210
0,443,377
1,292,835
0,731,781
1,664,802
0,340,525
1,128,589
1,621,567
